Uniq Id,Crawl Timestamp,Pageurl,Pdp Url,Product Id,Product Name,List Price,Sale Price,Discount Percentage,Brand,Product Rank,Size,Availability,Product Description,Seller,Category Url,Input Seed Url,Color,Average Rating,Total Number Of Ratings,Type,Sleeve,Fit,Fabric Or Material,Neck,Pattern,Fabric Care,Closure,Suitable For,Collar,Ideal For,Rise Style,Leg Style,Ocassion,Length,Sleeve Length,Sleeve Type,Wash Care,Darts,Star1 Count,Star2 Count,Star3 Count,Star4 Count,Star5 Count,Gender,Fulfilled By,Best Seller Rank 1,Best Seller Rank 2,Date First Available,Sub Category 1,Sub Category 2,Sub Category 3,Sub Category 4,Sub Category 5,Image 1,Image 2,Image 3,Billing Id,Variant
PROD100010,2023-11-02T00:00:00,https://myntra.com/product/100010,https://myntra.com/product/100010/details,100010,Pepe Jeans Dark Blue Distressed Slim Fit Jeans,1505,1294,14,Pepe Jeans,37.34,37,In Stock,Reliable jeans perfect for casual weekends. The versatile wash works with any casual outfit.,Pepe Jeans Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Dark Blue,4.1,4210,Slim Fit Jeans,,Slim,Denim,,Distressed,Machine Wash,Button,Everyday,,Men,Mid Rise,Regular,Everyday,,,,"Machine wash cold, tumble dry low",,128,294,631,1052,2105,Men,Myntra,,,,Jeans,Slim Fit Jeans,Men,Everyday,,https://assets.myntra.com/images/100010/1.jpg,https://assets.myntra.com/images/100010/2.jpg,https://assets.myntra.com/images/100010/3.jpg,BILL100010,Dark Blue
PROD100011,2023-11-21T00:00:00,https://myntra.com/product/100011,https://myntra.com/product/100011/details,100011,Allen Solly Dark Blue Solid Straight Fit Jeans,2176,870,60,Allen Solly,36.26,33,In Stock,Quality denim jeans engineered for comfort and style. Modern cut flatters all body types.,Allen Solly Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Dark Blue,4.7,3611,Straight Fit Jeans,,Slim,Stretch Denim,,Solid,Machine Wash,Button,Everyday,,Men,High Rise,Tapered,Everyday,,,,"Machine wash cold, tumble dry low",,111,252,541,902,1805,Men,,170,,,Jeans,Straight Fit Jeans,Men,Everyday,,https://assets.myntra.com/images/100011/1.jpg,https://assets.myntra.com/images/100011/2.jpg,https://assets.myntra.com/images/100011/3.jpg,BILL100011,Dark Blue
PROD100012,2023-11-25T00:00:00,https://myntra.com/product/100012,https://myntra.com/product/100012/details,100012,Roadster Beige Solid Chinos,4338,2082,52,Roadster,12.04,33,In Stock,Classic trousers offering comfort and style. Perfect for business meetings and formal occasions.,Roadster Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Beige,4.9,2511,Chinos,,Regular,Cotton,,Solid,Machine Wash,Button,Formal,,Men,High Rise,,Formal,,,,"Machine wash cold, tumble dry low",,78,175,376,627,1255,Men,Myntra,,,,Trousers,Chinos,Men,Formal,,https://assets.myntra.com/images/100012/1.jpg,https://assets.myntra.com/images/100012/2.jpg,https://assets.myntra.com/images/100012/3.jpg,BILL100012,Beige
PROD100013,2023-11-10T00:00:00,https://myntra.com/product/100013,https://myntra.com/product/100013/details,100013,Roadster Charcoal Solid Chinos,1792,465,74,Roadster,65.91,36,In Stock,Elegant trousers suitable for professional environments. The precise cut provides a sleek silhouette.,Roadster Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Charcoal,4.7,517,Chinos,,Tailored,Cotton,,Solid,Machine Wash,Button,Casual,,Men,Mid Rise,,Casual,,,,"Machine wash cold, tumble dry low",,17,36,77,129,258,Men,Myntra,586,,,Trousers,Chinos,Men,Casual,,https://assets.myntra.com/images/100013/1.jpg,https://assets.myntra.com/images/100013/2.jpg,https://assets.myntra.com/images/100013/3.jpg,BILL100013,Charcoal
PROD100014,2023-11-05T00:00:00,https://myntra.com/product/100014,https://myntra.com/product/100014/details,100014,Flying Machine Black Solid Skinny Jeans,3768,904,76,Flying Machine,9.58,32,In Stock,Classic jeans with timeless appeal. Durable construction ensures these will be a wardrobe favorite for years.,Flying Machine Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Black,5.0,1690,Skinny Jeans,,Skinny,Stretch Denim,,Solid,Machine Wash,Button,Casual,,Men,High Rise,Tapered,Casual,,,,"Machine wash cold, tumble dry low",,52,118,253,422,845,Men,,308,,,Jeans,Skinny Jeans,Men,Casual,,https://assets.myntra.com/images/100014/1.jpg,https://assets.myntra.com/images/100014/2.jpg,https://assets.myntra.com/images/100014/3.jpg,BILL100014,Black
PROD100015,2023-11-15T00:00:00,https://myntra.com/product/100015,https://myntra.com/product/100015/details,100015,Highlander Red Graphic Polo T-Shirt,1967,1160,41,Highlander,71.72,36,In Stock,Everyday essential t-shirt in premium cotton. Simple yet stylish design works with any casual outfit.,Highlander Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Red,4.6,1053,Polo T-Shirt,Sleeveless,Regular,Jersey,V-Neck,Graphic,Machine Wash,,Everyday,,Men,,,Everyday,,Sleeveless,Set-In,"Machine wash cold, tumble dry low",,34,73,157,263,526,Men,,498,,,Tshirts,Polo T-Shirt,Men,Everyday,,https://assets.myntra.com/images/100015/1.jpg,https://assets.myntra.com/images/100015/2.jpg,https://assets.myntra.com/images/100015/3.jpg,BILL100015,Red
PROD100016,2023-11-13T00:00:00,https://myntra.com/product/100016,https://myntra.com/product/100016/details,100016,Flying Machine Dark Blue Solid Slim Fit Jeans,3079,1662,46,Flying Machine,4.29,31,In Stock,Premium denim jeans offering superior comfort and style. Features classic five-pocket design with modern fit.,Flying Machine Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Dark Blue,3.5,2285,Slim Fit Jeans,,Relaxed,Denim,,Solid,Machine Wash,Button,Everyday,,Men,Mid Rise,Straight,Everyday,,,,"Machine wash cold, tumble dry low",,71,159,342,571,1142,Men,,109,,,Jeans,Slim Fit Jeans,Men,Everyday,,https://assets.myntra.com/images/100016/1.jpg,https://assets.myntra.com/images/100016/2.jpg,https://assets.myntra.com/images/100016/3.jpg,BILL100016,Dark Blue
PROD100017,2023-11-18T00:00:00,https://myntra.com/product/100017,https://myntra.com/product/100017/details,100017,Wrangler Navy Striped Polo T-Shirt,3032,2516,17,Wrangler,81.95,33,In Stock,Relaxed fit t-shirt ideal for casual weekends. Soft fabric ensures comfort from morning to night.,Wrangler Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Navy,4.0,99,Polo T-Shirt,Short Sleeve,Slim,Cotton,V-Neck,Striped,Machine Wash,,Sports,,Men,,,Sports,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,6,6,14,24,49,Men,,621,,,Tshirts,Polo T-Shirt,Men,Sports,,https://assets.myntra.com/images/100017/1.jpg,https://assets.myntra.com/images/100017/2.jpg,https://assets.myntra.com/images/100017/3.jpg,BILL100017,Navy
PROD100018,2023-11-16T00:00:00,https://myntra.com/product/100018,https://myntra.com/product/100018/details,100018,Raymond Grey Checked Dress Pants,904,262,71,Raymond,27.12,36,In Stock,Classic trousers offering comfort and style. Perfect for business meetings and formal occasions.,Raymond Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Grey,4.0,2947,Dress Pants,,Tailored,Cotton,,Checked,Machine Wash,Button,Formal,,Men,Mid Rise,,Formal,,,,"Machine wash cold, tumble dry low",,90,206,442,736,1473,Men,Myntra,898,,,Trousers,Dress Pants,Men,Formal,,https://assets.myntra.com/images/100018/1.jpg,https://assets.myntra.com/images/100018/2.jpg,https://assets.myntra.com/images/100018/3.jpg,BILL100018,Grey
PROD100019,2023-11-08T00:00:00,https://myntra.com/product/100019,https://myntra.com/product/100019/details,100019,Pepe Jeans Light Blue Striped Printed Shirt,4395,2505,43,Pepe Jeans,25.81,28,In Stock,Contemporary shirt with attention to detail. Premium fabric ensures durability and comfort throughout the day.,Pepe Jeans Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Light Blue,4.0,1880,Printed Shirt,Short Sleeve,Slim,Cotton Blend,Spread Collar,Striped,Machine Wash,Button,Casual,Spread Collar,Men,,,Casual,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,57,131,282,470,940,Men,,,,,Shirts,Printed Shirt,Men,Casual,,https://assets.myntra.com/images/100019/1.jpg,https://assets.myntra.com/images/100019/2.jpg,https://assets.myntra.com/images/100019/3.jpg,BILL100019,Light Blue
PROD100020,2023-11-11T00:00:00,https://myntra.com/product/100020,https://myntra.com/product/100020/details,100020,Van Heusen Red Solid Round Neck T-Shirt,3881,1746,55,Van Heusen,79.3,31,In Stock,Contemporary t-shirt offering style and ease. Perfect for layering or wearing solo during warm weather.,Van Heusen Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Red,4.4,2634,Round Neck T-Shirt,Sleeveless,Relaxed,Jersey,V-Neck,Solid,Machine Wash,,Sports,,Men,,,Sports,,Sleeveless,Set-In,"Machine wash cold, tumble dry low",,80,184,395,658,1317,Men,,270,,,Tshirts,Round Neck T-Shirt,Men,Sports,,https://assets.myntra.com/images/100020/1.jpg,https://assets.myntra.com/images/100020/2.jpg,https://assets.myntra.com/images/100020/3.jpg,BILL100020,Red
PROD100021,2023-11-15T00:00:00,https://myntra.com/product/100021,https://myntra.com/product/100021/details,100021,Arrow Grey Solid Chinos,3998,3478,13,Arrow,73.45,30,In Stock,"Sophisticated trousers ideal for formal settings. Tailored fit ensures a sharp, polished appearance.",Arrow Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Grey,3.7,1786,Chinos,,Regular,Polyester Blend,,Solid,Machine Wash,Button,Office,,Men,Mid Rise,,Office,,,,"Machine wash cold, tumble dry low",,55,125,267,446,893,Men,,524,,,Trousers,Chinos,Men,Office,,https://assets.myntra.com/images/100021/1.jpg,https://assets.myntra.com/images/100021/2.jpg,https://assets.myntra.com/images/100021/3.jpg,BILL100021,Grey
PROD100022,2023-11-23T00:00:00,https://myntra.com/product/100022,https://myntra.com/product/100022/details,100022,Lee Maroon Solid Crew Neck T-Shirt,3774,2792,26,Lee,11.93,28,In Stock,Classic t-shirt designed for maximum comfort. Features quality cotton construction that gets softer with each wash.,Lee Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Maroon,4.6,2706,Crew Neck T-Shirt,Sleeveless,Relaxed,Jersey,V-Neck,Solid,Machine Wash,,Everyday,,Men,,,Everyday,,Sleeveless,Set-In,"Machine wash cold, tumble dry low",,83,189,405,676,1353,Men,,,,,Tshirts,Crew Neck T-Shirt,Men,Everyday,,https://assets.myntra.com/images/100022/1.jpg,https://assets.myntra.com/images/100022/2.jpg,https://assets.myntra.com/images/100022/3.jpg,BILL100022,Maroon
PROD100023,2023-11-27T00:00:00,https://myntra.com/product/100023,https://myntra.com/product/100023/details,100023,Jack & Jones Navy Checked Dress Pants,3031,2485,18,Jack & Jones,92.0,37,In Stock,Refined trousers crafted for the modern professional. Features classic styling with contemporary fit.,Jack & Jones Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Navy,4.9,1173,Dress Pants,,Slim,Cotton,,Checked,Machine Wash,Button,Formal,,Men,Mid Rise,,Formal,,,,"Machine wash cold, tumble dry low",,37,82,175,293,586,Men,,,,,Trousers,Dress Pants,Men,Formal,,https://assets.myntra.com/images/100023/1.jpg,https://assets.myntra.com/images/100023/2.jpg,https://assets.myntra.com/images/100023/3.jpg,BILL100023,Navy
PROD100024,2023-11-27T00:00:00,https://myntra.com/product/100024,https://myntra.com/product/100024/details,100024,Adidas Blue Printed Polo T-Shirt,2326,1069,54,Adidas,93.03,30,In Stock,Contemporary t-shirt offering style and ease. Perfect for layering or wearing solo during warm weather.,Adidas Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Blue,4.9,3618,Polo T-Shirt,Short Sleeve,Relaxed,Jersey,V-Neck,Printed,Machine Wash,,Casual,,Men,,,Casual,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,110,253,542,904,1809,Men,,,,,Tshirts,Polo T-Shirt,Men,Casual,,https://assets.myntra.com/images/100024/1.jpg,https://assets.myntra.com/images/100024/2.jpg,https://assets.myntra.com/images/100024/3.jpg,BILL100024,Blue
PROD100025,2023-11-26T00:00:00,https://myntra.com/product/100025,https://myntra.com/product/100025/details,100025,Wrangler Blue Graphic Round Neck T-Shirt,2314,1758,24,Wrangler,14.44,28,In Stock,Casual t-shirt combining comfort with contemporary style. The perfect foundation for your casual wardrobe.,Wrangler Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Blue,3.3,1602,Round Neck T-Shirt,Short Sleeve,Regular,Polyester,Polo Collar,Graphic,Machine Wash,,Casual,,Men,,,Casual,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,49,112,240,400,801,Men,Myntra,,,,Tshirts,Round Neck T-Shirt,Men,Casual,,https://assets.myntra.com/images/100025/1.jpg,https://assets.myntra.com/images/100025/2.jpg,https://assets.myntra.com/images/100025/3.jpg,BILL100025,Blue
PROD100026,2023-11-05T00:00:00,https://myntra.com/product/100026,https://myntra.com/product/100026/details,100026,Park Avenue Black Solid Regular Fit Jeans,3338,1802,46,Park Avenue,95.11,33,In Stock,Quality denim jeans engineered for comfort and style. Modern cut flatters all body types.,Park Avenue Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Black,4.1,464,Regular Fit Jeans,,Straight,Denim,,Solid,Machine Wash,Button,Casual,,Men,Low Rise,Straight,Casual,,,,"Machine wash cold, tumble dry low",,15,32,69,116,232,Men,,270,,,Jeans,Regular Fit Jeans,Men,Casual,,https://assets.myntra.com/images/100026/1.jpg,https://assets.myntra.com/images/100026/2.jpg,https://assets.myntra.com/images/100026/3.jpg,BILL100026,Black
PROD100027,2023-11-16T00:00:00,https://myntra.com/product/100027,https://myntra.com/product/100027/details,100027,Puma Olive Striped Round Neck T-Shirt,3830,2987,22,Puma,85.77,32,In Stock,Comfortable t-shirt perfect for active lifestyles. Breathable fabric keeps you cool throughout the day.,Puma Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Olive,3.4,887,Round Neck T-Shirt,Sleeveless,Slim,Cotton Blend,Polo Collar,Striped,Machine Wash,,Casual,,Men,,,Casual,,Sleeveless,Set-In,"Machine wash cold, tumble dry low",,28,62,133,221,443,Men,,773,,,Tshirts,Round Neck T-Shirt,Men,Casual,,https://assets.myntra.com/images/100027/1.jpg,https://assets.myntra.com/images/100027/2.jpg,https://assets.myntra.com/images/100027/3.jpg,BILL100027,Olive
PROD100028,2023-11-21T00:00:00,https://myntra.com/product/100028,https://myntra.com/product/100028/details,100028,Lee Brown Solid Formal Trousers,3680,3017,18,Lee,75.47,34,In Stock,Classic trousers offering comfort and style. Perfect for business meetings and formal occasions.,Lee Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Brown,4.8,2234,Formal Trousers,,Slim,Cotton Blend,,Solid,Machine Wash,Button,Casual,,Men,High Rise,,Casual,,,,"Machine wash cold, tumble dry low",,68,156,335,558,1117,Men,,,,,Trousers,Formal Trousers,Men,Casual,,https://assets.myntra.com/images/100028/1.jpg,https://assets.myntra.com/images/100028/2.jpg,https://assets.myntra.com/images/100028/3.jpg,BILL100028,Brown
PROD100029,2023-11-20T00:00:00,https://myntra.com/product/100029,https://myntra.com/product/100029/details,100029,Wrangler Navy Checked Printed Shirt,4018,2531,37,Wrangler,53.8,34,In Stock,Contemporary shirt with attention to detail. Premium fabric ensures durability and comfort throughout the day.,Wrangler Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Navy,4.0,2146,Printed Shirt,Long Sleeve,Slim,Polyester,Spread Collar,Checked,Machine Wash,Button,Office,Spread Collar,Men,,,Office,,Long Sleeve,Set-In,"Machine wash cold, tumble dry low",,66,150,321,536,1073,Men,,59,,,Shirts,Printed Shirt,Men,Office,,https://assets.myntra.com/images/100029/1.jpg,https://assets.myntra.com/images/100029/2.jpg,https://assets.myntra.com/images/100029/3.jpg,BILL100029,Navy
PROD100030,2023-11-16T00:00:00,https://myntra.com/product/100030,https://myntra.com/product/100030/details,100030,Jack & Jones Beige Checked Dress Pants,671,523,22,Jack & Jones,70.88,38,In Stock,Quality trousers designed for all-day comfort. The fabric breathes well while maintaining a crisp look.,Jack & Jones Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Beige,4.1,83,Dress Pants,,Regular,Cotton Blend,,Checked,Machine Wash,Button,Casual,,Men,High Rise,,Casual,,,,"Machine wash cold, tumble dry low",,5,5,12,20,41,Men,,,,,Trousers,Dress Pants,Men,Casual,,https://assets.myntra.com/images/100030/1.jpg,https://assets.myntra.com/images/100030/2.jpg,https://assets.myntra.com/images/100030/3.jpg,BILL100030,Beige
PROD100031,2023-11-07T00:00:00,https://myntra.com/product/100031,https://myntra.com/product/100031/details,100031,Allen Solly Brown Checked Chinos,3610,1046,71,Allen Solly,91.57,28,Out of Stock,Refined trousers crafted for the modern professional. Features classic styling with contemporary fit.,Allen Solly Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Brown,4.9,2000,Chinos,,Regular,Cotton Blend,,Checked,Machine Wash,Button,Formal,,Men,Mid Rise,,Formal,,,,"Machine wash cold, tumble dry low",,60,140,300,500,1000,Men,,914,,,Trousers,Chinos,Men,Formal,,https://assets.myntra.com/images/100031/1.jpg,https://assets.myntra.com/images/100031/2.jpg,https://assets.myntra.com/images/100031/3.jpg,BILL100031,Brown
PROD100032,2023-11-17T00:00:00,https://myntra.com/product/100032,https://myntra.com/product/100032/details,100032,Reebok Grey Distressed Slim Fit Jeans,2092,1799,14,Reebok,19.71,36,In Stock,Quality denim jeans engineered for comfort and style. Modern cut flatters all body types.,Reebok Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Grey,3.7,1044,Slim Fit Jeans,,Straight,Denim,,Distressed,Machine Wash,Button,Everyday,,Men,Mid Rise,Regular,Everyday,,,,"Machine wash cold, tumble dry low",,32,73,156,261,522,Men,Myntra,,,,Jeans,Slim Fit Jeans,Men,Everyday,,https://assets.myntra.com/images/100032/1.jpg,https://assets.myntra.com/images/100032/2.jpg,https://assets.myntra.com/images/100032/3.jpg,BILL100032,Grey
PROD100033,2023-11-25T00:00:00,https://myntra.com/product/100033,https://myntra.com/product/100033/details,100033,Park Avenue Beige Printed Casual Shirt,2811,927,67,Park Avenue,63.45,34,In Stock,Timeless shirt that belongs in every man's wardrobe. Features quality construction and elegant design.,Park Avenue Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Beige,3.5,4160,Casual Shirt,Short Sleeve,Tailored,Cotton,Spread Collar,Printed,Machine Wash,Button,Formal,Spread Collar,Men,,,Formal,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,125,291,624,1040,2080,Men,,449,,,Shirts,Casual Shirt,Men,Formal,,https://assets.myntra.com/images/100033/1.jpg,https://assets.myntra.com/images/100033/2.jpg,https://assets.myntra.com/images/100033/3.jpg,BILL100033,Beige
PROD100034,2023-11-05T00:00:00,https://myntra.com/product/100034,https://myntra.com/product/100034/details,100034,Louis Philippe Black Washed Relaxed Fit Jeans,2954,2245,24,Louis Philippe,71.48,34,In Stock,Modern fit jeans offering exceptional comfort. Quality denim construction with attention to detail.,Louis Philippe Official Store,https://myntra.com/jeans,https://myntra.com/jeans,Black,3.7,2661,Relaxed Fit Jeans,,Regular,Denim,,Washed,Machine Wash,Button,Casual,,Men,High Rise,Tapered,Casual,,,,"Machine wash cold, tumble dry low",,81,186,399,665,1330,Men,Myntra,567,,,Jeans,Relaxed Fit Jeans,Men,Casual,,https://assets.myntra.com/images/100034/1.jpg,https://assets.myntra.com/images/100034/2.jpg,https://assets.myntra.com/images/100034/3.jpg,BILL100034,Black
